Task Name,Byrå ID,Aktuell,TJÄNSTTYP,Beskrivning av riskfaktor,Riskbedömning,Åtgjärd,🔐 Softr Record ID,Last Modified,KUNDDATA,Riskbedömning godkänd datum,Byråer
Leverantörsreskontra,MALL,,LEVERANTÖRSRESKONTRA,"*   Fiktiva eller felaktiga fakturor registreras, särskilt om kunden betalat via eget utlägg
    
*   Angivet BG/Plusgiro överensstämmer inte med den som ställt ut fakturan
    
*   Kontantfakturor där det inte är motiverat
    
*   Risk för att uppgifter från leverantörsfakturor används till förfalskade fakturor, t.ex. nätfiske av e-post med fakturor
    
*   Ospecificerade fakturor, särskilt konsultarvoden och från närstående eller utländska företag i högriskländer
    
*   Ovanliga inköp som verkar sakna koppling till den bedrivna verksamheten
    
*   Plötslig ökning av fakturor eller värdet på fakturor från en viss leverantör utan rimlig förklaring
    
*   Storlek eller frekvens av leverantörsfakturor är inte konsekvent med kundens normala transaktionsmönster
    
*   Orimligt höga eller låga priser i förhållande till marknadspriser
    
*   Inköp via mellanhänder där detta inte är affärsmässigt motiverat
    
*   Överdrivna eller ovanliga provisioner eller ersättningar till agenter/ återförsäljare
    
*   Fakturor från leverantörer i högriskländer som kan vara felaktiga och därmed dölja betalningar från Sverige som innefattar penningtvätt",Medel,"*   Kontrollerar fakturor gällande kontanta betalningar och till andra länder. Är de i linjer med företagets verksamhet? Är det stora och/eller upprepad fakturering?
    
*   Inköp som inte är relaterade till verksamheten ifrågasätts alltid.
    
*   Vaksamhet gällande ersättningar som verkar omotiverade. Större kassaflöden (över 50 000 kr årligen eller omotiverat stora i förhållande till företagets storlek) till högriskländer kontrolleras alltid genom PEP sökning och sanktionslistor.
    
*   Vi uppmuntrar alla våra kunder attanvända företagontot för betalningar i företaget.",XkquZDkTkLZpfyBANtGKBx,2025-7-5 9:32pm,,,
Attesthantering av leverantörsfakturor,,,LEVERANTÖRSRESKONTRA,Någon utomstående attesterar fakturan,Medel,Vi använder säkra system som borgar för att ingen utomstående kan attestera fakturor.,VX2jcez433XG6YguFGJWTB,2025-6-26 1:33pm,,,
Avstämning av leverantörsreskontra,,,LEVERANTÖRSRESKONTRA,Se risker Leverantörsreskontra,Medel,Se risker Leverantörsreskontra,NfsMdc9ZXqXehkmfQdUoUw,2025-6-26 1:33pm,,,
Kontering av leverantörsfakturor,,,LEVERANTÖRSRESKONTRA,"Fiktiva eller felaktiga fakturor registreras, särskilt om kunden betalat från privat konto eller genom utlägg.",Medel,Vi kontrollerar mot kontoutdrag att betalning genomförts.,4L2m6CB8LajuR4K6Q11tgw,2025-6-26 1:33pm,,,
Registrering av leverantörsbetalningar,,,LEVERANTÖRSRESKONTRA,"Felaktiga betalningar registreras, särskilt om kunden betalat från privat konto eller genom utlägg.",Medel,"Uppmuntra kunder att alltid använda företagskontot, annars begär vi transaktionsinfo",Wnfi4CYDvbAkWN1RPJzSLP,2025-6-26 1:33pm,,,
Upprätta betalningsförslag,,,LEVERANTÖRSRESKONTRA,"Betalning till felaktiga BG/Plusgiro Utbetalningar som inte motsvaras av leverantörsfaktura, kvitto eller löneutbetalning Betalningar som sker via utländska banker, särskilt om de finns i högriskländer",Hög,Kontrollera alltid BG/Plusgiro vid upplägg av nya leverantörer. Alltid underlag på betalningarna Vi gör aldrig betalningar via utländska banker.,NAE57DmWYGDFYBt5WJ5y5a,2025-7-5 8:41pm,,,
Utföra betalningsuppdrag,MALL,,LEVERANTÖRSRESKONTRA,"*   Flytt av likvida medel mellan konton, särskilt om de involverar utländska banker, när detta inte är affärsmässigt motiverat
    
*   Flytt av likvida medel mellan koncernföretag eller närstående företag när detta inte är affärsmässigt motiverat
    
*   Betalningar som sker via utländska banker när mottagare inte kan identifieras eller inte stämmer med underlag för betalning
    
*   Kundens e-post blir hackad och lämnar uppgift om att något ska betalas som inte ska betalas.",Hög,"*   Genomför ej överföringar mellan konton som inte är affärsmässigt motiverade, särskilt inte till andra länder.
    
*   Vid ovanliga betalningar kontaktas kunden via telefon för att bekräfta överföringen.
    
*   Kunden attesterar alltid antingen i bokföringssystem eller på bank.",6NdxgsFEz2AZHrNQCTfsiy,2025-7-5 9:32pm,,,
Löpande bokföring,MALL,,LÖPANDE BOKFÖRING,"*   Inbetalningar som inte motsvaras av kundfaktura eller från oklara avsändare
    
*   Utbetalningar som inte motsvaras av leverantörsfaktura, kvitto eller löneutbetalning
    
*   Kontantbetalningar eller ovanliga och anonyma betalningsmedel såsom postväxel och kryptovalutor där så inte är motiverat
    
*   Betalningar som sker via utländska banker, särskilt om de finns i högriskländer eller har namn som liknar storbanker
    
*   Oväntade och förtida återbetalning av lån som avviker från det normala
    
*   Inköp av investeringsvaror som snabbt säljs vidare när detta inte ingår i den normala affärsverksamheten
    
*   Ovanliga eller avvikande transaktioner med hänsyn till den normala verksamheten
    
*   Aktieägartillskott och lån från fysiska personer",Medel,*   Vaksamhet när inbetalningar utan syfte och eller underlag upptäcks.,AdF64SbmLc1k5vLbKsCB18,2025-7-5 9:31pm,,,
Bokföra avskrivningar,,,LÖPANDE BOKFÖRING,"Felräkning eller genom att inventarier felaktigt har behandlats som korttidsinventarier kan avskrivningar bli fel. Inventarier kan vara avyttrade eller skrotade vilket gör värdet felaktigt Avskrivningar är ett område med hög risk för felaktigheter, vilket kan påverka företagets finansiella rapportering.",Hög,Gå igenom med kunden vilka maskiner och inventarier som finns kvar. Kontroll av huvudbok för att se om inköp felaktigt lagts på t ex 5410 Använd anläggningsregister och bilagor i Capego,Kp1nvaqPWPsDuH3nVn8vRe,2025-6-26 1:33pm,,,
Hantering av anläggningsregister och avskrivningar,MALL,,LÖPANDE BOKFÖRING,"*   Registrering av tillgångar som inte finns, eller att det inte uppdaterats med försäljning/skrotning
    
*   Felräkning eller genom att inventarier felaktigt har behandlats som korttidsinventarier kan avskrivningar bli fel.
    
*   Inventarier kan vara avyttrade eller skrotade vilket gör värdet felaktigt
    
*   Avskrivningar är ett område med hög risk för felaktigheter, vilket kan påverka företagets finansiella rapportering.",Hög,"*   Gå igenom med kunden vilka maskiner och inventarier som finns kvar.
    
*   Underlag på samtliga inköp inkl kontoutdrag/transaktioninfo
    
*   Kontroll av huvudbok för att se om inköp felaktigt lagts på t ex 5410
    
*   Använd anläggningsregister och bilagor i Bokslutsprogrammet",XGFsZNXPLzLqfctMFsae6M,2025-7-5 9:31pm,,,
Moms,MALL,,MOMS,"- Momsupplägg såsom karusellhandel, felaktig vinstmarginalbeskattning m.m. 
- Felaktiga momsdeklarationer för att påverka moms för egen eller annans vinning 
- Kunden sköter redovisning, byrån upprättar deklaration, om kunden gör löpande bokföring så finns risk att momsen grundar sig på felaktig bokföring
",Hög,"- Tillgång till Underlag och bokföring, kontroll innan vi skickar in momsdeklarationen. 
- Vid komplicerade/krångliga upplägg så sker rapportering till finansppolisen.",mX2q4QeUxoEbFgPEBHZkU,2025-7-15 11:50am,,,
Inlämning momsdeklaration,,,MOMS,Om kunden gör löpande bokföring så finns risk att momsen grundar sig på felaktig bokföring,Medel,Kontrollera kundens bokföring innan momsen skickas in.,Vj7n4c1XYTdMHsoJj6vyD3,2025-6-26 1:33pm,,,
Årsredovisning,MALL,,ÅRSREDOVISNING,"*   Redovisningsinformation stämmer inte överens med årsredovisningens övriga delar
    
*   Vilseledande information i förvaltningsberättelse och noter m.m. i syfte att dölja verkliga förhållanden eller skönmåla verksamheten
    
*   Beskriven verksamhet stämmer inte med faktisk verksamhet
    
*   Kunden lämnar material för sent eller har extremt bråttom att få materialet klart
    
*   Kunden gör bokslut själv finns risk att byråns rimlighetsbedömningar och kontroller fångar inte in vilseledande information
    
*   Särskilt om annan byrå har upprättat bokslut: vår byrås rimlighetsbedömningar fångar inte in vilseledande information.
    
*   Vid upprättande av årsstämmoprotokoll finns risk att personer väljs in som inte har anknytning till företaget.",Medel,"*   Gör ej årsredovisning om vi inte gjort bokslutet. Detta gör också att vi får inblick i verksamheten och kan göra en bedömning om årsredovisning ger en sann bild av bolaget.
    
*   Uppsägning av kund vid upprepning av för sent inlämnat material
    
*   Vid förändringar i styrelsen så förs en dialog med kunden om anledning",SankjuYPc9KL8dvmQnQaU1,2025-7-15 11:50am,,,
Upprättande av stämmoprotokoll,,,ÅRSREDOVISNING,Att personer väljs in som inte har anknytning till företaget,Medel,Vid förändringar i styrelsen så förs en dialog med kunden om anledning,525J9Fjy3hbT5qYh83jTiv,2025-6-26 1:33pm,,,
Upprättande av årsredovisning,,,ÅRSREDOVISNING,Byrån har upprättat bokslut -Redovisningsinformation stämmer inte överens med årsredovisningens övriga delar -Vilseledande information i förvaltningsberättelse och noter m.m. i syfte att dölja verkliga förhållanden eller skönmåla verksamheten -Beskriven verksamhet stämmer inte med faktisk verksamhet -Kunden lämnar material för sent eller har extremt bråttom att få materialet klart Annan byrå har upprättat bokslut -Byråns rimlighetsbedömningar fångar inte in vilseledande information Kunden gör bokslut själv -Byråns rimlighetsbedömningar och kontroller fångar inte in vilseledande information,Medel,Vi gör alltid bokslutet om vi gör årsredovisningen. Vi avslutar samarbetet om kunden lämnar in meterial fr sent.,CT9AywnCimoWCkdGwXQKct,2025-6-26 1:33pm,,,
Rådgivning,MALL,,RÅDGIVNING,"Rådgivning inom affärsutveckling

<br/>

*   Verksamheten ändras som kan öka risken för att verksamheten utnyttjas för penningtvätt eller finansiering av terrorism
    
*   Bolaget ändrar verksamhet och den nya verksamheten innebär förändrad risk för penningtvätt
    
*   Omotiverat komplicerade bolagsstrukturer när detta inte är affärsmässigt motiverat.
    
*   Finansieringsupplägg som innefattar utländska banker, andra än kreditinstitut och närstående till kunden
    
*   Utlåning till närstående som har verksamhet i högrisktredjeländer eller andra länder som saknar kopplingar till verksamheten
    
*   Inlåning från närstående eller annan där medlens ursprung inte är känt eller saknar naturlig koppling till verksamheten
    
*   Företagslednings- och kompanjonsfrågor
    
*   Förändringar i företagsledning och kompanjonskap
    
*   Nya personer ingår i företagsledning/kompanjoner och där det framkommer negativ information om dem vid t.ex. företrädarkontroll",Medel,"*   Vaksamhet vid affärsrådgivning. Framförallt vaksamhet på om kunden ställer frågor gällande penningtvätt, omotiverade pengaöverföringar, om personer inblandade inte går att kontrollera, när företag/personer från andra länder är inblandade.",4DWpQBjyvL6muCgQhi7zs8,2025-7-5 9:30pm,,,
Rådgivning,Nya firman AB,,RÅDGIVNING,"Rådgivning inom affärsutveckling

<br/>

*   Verksamheten ändras som kan öka risken för att verksamheten utnyttjas för penningtvätt eller finansiering av terrorism
    
*   Bolaget ändrar verksamhet och den nya verksamheten innebär förändrad risk för penningtvätt
    
*   Omotiverat komplicerade bolagsstrukturer när detta inte är affärsmässigt motiverat.
    
*   Finansieringsupplägg som innefattar utländska banker, andra än kreditinstitut och närstående till kunden
    
*   Utlåning till närstående som har verksamhet i högrisktredjeländer eller andra länder som saknar kopplingar till verksamheten
    
*   Inlåning från närstående eller annan där medlens ursprung inte är känt eller saknar naturlig koppling till verksamheten
    
*   Företagslednings- och kompanjonsfrågor
    
*   Förändringar i företagsledning och kompanjonskap
    
*   Nya personer ingår i företagsledning/kompanjoner och där det framkommer negativ information om dem vid t.ex. företrädarkontroll",Medel,"*   Vaksamhet vid affärsrådgivning. Framförallt vaksamhet på om kunden ställer frågor gällande penningtvätt, omotiverade pengaöverföringar, om personer inblandade inte går att kontrollera, när företag/personer från andra länder är inblandade.",4DWpQBjyvL6muCgQhi7zs8,2025-7-14 2:27pm,,,
Upprätta kontrollbalansräkning,MALL,,UPPRÄTTA KONTROLLBALANSRÄKNING,*   Tillgångar och skulder får värderas annorlunda i KBR än i BR. Risken är att denna värdering är felaktig,Medel,"*   Kontroll av underlag, vid tveksamhet sker ytterligare kontroll. T ex att vi fysiskt eller vi webkamera kontrollerar lagret eller liknande.
    
*   Kontrollerar upparbetade intäkter med kunder osv.",D25aKE7Fyr5QsDRMJAmt7K,2025-7-5 9:30pm,,,
Upprätta kontrollbalansräkning,Nya firman AB,,UPPRÄTTA KONTROLLBALANSRÄKNING,*   Tillgångar och skulder får värderas annorlunda i KBR än i BR. Risken är att denna värdering är felaktig,Medel,"*   Kontroll av underlag, vid tveksamhet sker ytterligare kontroll. T ex att vi fysiskt eller vi webkamera kontrollerar lagret eller liknande.
    
*   Kontrollerar upparbetade intäkter med kunder osv.",D25aKE7Fyr5QsDRMJAmt7K,2025-7-14 2:27pm,,,
Rådgivning,31,checked,RÅDGIVNING,"Rådgivning inom affärsutveckling

<br/>

*   Verksamheten ändras som kan öka risken för att verksamheten utnyttjas för penningtvätt eller finansiering av terrorism
    
*   Bolaget ändrar verksamhet och den nya verksamheten innebär förändrad risk för penningtvätt
    
*   Omotiverat komplicerade bolagsstrukturer när detta inte är affärsmässigt motiverat.
    
*   Finansieringsupplägg som innefattar utländska banker, andra än kreditinstitut och närstående till kunden
    
*   Utlåning till närstående som har verksamhet i högrisktredjeländer eller andra länder som saknar kopplingar till verksamheten
    
*   Inlåning från närstående eller annan där medlens ursprung inte är känt eller saknar naturlig koppling till verksamheten
    
*   Företagslednings- och kompanjonsfrågor
    
*   Förändringar i företagsledning och kompanjonskap
    
*   Nya personer ingår i företagsledning/kompanjoner och där det framkommer negativ information om dem vid t.ex. företrädarkontroll",Medel,"*   Vaksamhet vid affärsrådgivning. Framförallt vaksamhet på om kunden ställer frågor gällande penningtvätt, omotiverade pengaöverföringar, om personer inblandade inte går att kontrollera, när företag/personer från andra länder är inblandade.",,2025-7-14 11:51am,,,
ROT/RUT,31,checked,KUNDRESKONTRA,"*   RIsk att inbetalningen bygger på felaktiga underlag från kunden.
    
*   Fiktiva eller felaktiga ansökningar om ROT/RUT-avdrag kan användas för att legitimera pengar från olagliga aktiviteter, genom att skapa skenbara tjänster som inte utförts. Detta innebär en direkt risk för att pengar flyttas och legitimeras under falska premisser.",Hög,"*   Kontrollera att fakturamottagaren på utställda fakturor matchar betalaren på bank-girot.
    
*   Kontrollera att det finns trovärdiga fakturor som underlag
    
*   Kontrollera att fakturamottagarens uppgifter överenstämmer med betalaren till Bankgirot.
    
*   Kontrollera att det är ansökt för rätt bidrag, RUT ger högre skattereduktion så det kan vara fördelaktigt att söka på det istället för ROT.",,2025-7-14 11:51am,,,
AVSTÄMNING,32,checked,AVSTÄMNING,"Felaktiga underlag kan göra att avstämningarna inte stämmer. Kan användas för att påverka resultatet och skatten. Dock svårt att använda för penningtvätt eller finansiering av terrorism.

<br/>

**Särskilt om...**

AVSTÄMNING ARBETSGIVARDEKLARATIONER

*   Fiktiva eller felaktiga ersättningar
    
*   Ersättning till anställda som slutat sedan länge eller som inte verkar ha arbetat i verksamheten
    
*   Försäkringar tecknade med förmånstagare som inte arbetar i företaget.
    
    <br/>
    

AVSTÄMNING BALANSKONTON

*   Felaktiga underlag kan leda till att uttag, resultat mm blir felaktigt",Medel,"*   Rutinmässig kontroll att årsbesked stämmer överens med underlag för enskilda transaktioner.
    
*   Kontroll av engagemangsbesked.
    
*   Utökad kontroll om andra riskfaktorer finns.
    
*   Dialog med kunden säkerställer att den anställde verkligen jobbar där. Vaksam vid nyanställda.
    
*   Viktigt med bra kommunikation med ägare/ansvarig.
    
*   Vid stora utbetalningar eller misstanke om att något inte stämmer så kontrolleras kontonumret med banken.
    
*   Vid upplupna kostnader/intäkter ska det alltid finnas en rimlighet. Ifrågasätt varför det inte är fakturerat.",,2025-7-31 2:50pm,"41,41,41,41,41",,
